Time;X;Y;Z;Vx;Vy;Vz;Ax;Ay;Az;Jx;Jy;Jz
1.432000;0.200382;0.100032;0.000000;0.318500;-0.000007;0.000000;0.386975;-0.000135;0.000000;-1.147057;0.000198;0.000000
1.440000;0.202942;0.100032;0.000000;0.321558;-0.000008;0.000000;0.377719;-0.000133;0.000000;-1.166925;0.000203;0.000000
1.448000;0.205526;0.100032;0.000000;0.324543;-0.000010;0.000000;0.368306;-0.000131;0.000000;-1.186218;0.000208;0.000000
1.456000;0.208134;0.100032;0.000000;0.327451;-0.000011;0.000000;0.358741;-0.000130;0.000000;-1.204934;0.000213;0.000000
1.464000;0.210765;0.100032;0.000000;0.330282;-0.000012;0.000000;0.349029;-0.000128;0.000000;-1.223075;0.000218;0.000000
1.472000;0.213419;0.100031;0.000000;0.333035;-0.000013;0.000000;0.339174;-0.000126;0.000000;-1.240640;0.000222;0.000000
1.480000;0.216094;0.100031;0.000000;0.335709;-0.000014;0.000000;0.329180;-0.000124;0.000000;-1.257628;0.000227;0.000000
1.488000;0.218790;0.100031;0.000000;0.338302;-0.000015;0.000000;0.319053;-0.000123;0.000000;-1.274041;0.000231;0.000000
1.496000;0.221506;0.100031;0.000000;0.340813;-0.000016;0.000000;0.308797;-0.000121;0.000000;-1.289878;0.000235;0.000000
1.504000;0.224243;0.100031;0.000000;0.343242;-0.000017;0.000000;0.298416;-0.000119;0.000000;-1.305139;0.000239;0.000000
1.512000;0.226998;0.100031;0.000000;0.345587;-0.000017;0.000000;0.287916;-0.000117;0.000000;-1.319825;0.000243;0.000000
1.520000;0.229772;0.100031;0.000000;0.347848;-0.000018;0.000000;0.277301;-0.000115;0.000000;-1.333934;0.000247;0.000000
1.528000;0.232563;0.100031;0.000000;0.350024;-0.000019;0.000000;0.266575;-0.000113;0.000000;-1.347467;0.000251;0.000000
1.536000;0.235372;0.100030;0.000000;0.352113;-0.000020;0.000000;0.255743;-0.000111;0.000000;-1.360425;0.000254;0.000000
1.544000;0.238197;0.100030;0.000000;0.354116;-0.000021;0.000000;0.244810;-0.000109;0.000000;-1.372806;0.000258;0.000000
1.552000;0.241038;0.100030;0.000000;0.356030;-0.000022;0.000000;0.233780;-0.000107;0.000000;-1.384612;0.000261;0.000000
1.560000;0.243893;0.100030;0.000000;0.357856;-0.000023;0.000000;0.222657;-0.000105;0.000000;-1.395841;0.000265;0.000000
1.568000;0.246763;0.100030;0.000000;0.359592;-0.000024;0.000000;0.211448;-0.000103;0.000000;-1.406495;0.000268;0.000000
